uuid,Keywords,label
0,impact smoking intensity; concentrations smokers smoking; prospective population based; concentrations smokers; population positive; ctni dose dependent; ago concentrations hs; consumption sensitivity; population current cigarette; consumption; prospective population; cardiovascular events population; troponin measured sensitivity; ctni smokers dose; conclusions population current; troponins cigarette smoking; smokers conclusions population; tobacco; health study; cigarette smoking concentrations; cardiac troponin measured; conclusions population; concentrations cardiac troponin; troponin measured; ctni concentrations; hs ctni concentrations; troponin population hunt; ctni concentrations measured; population hunt study; ctni concentrations smokers; study tobacco habits; tobacco habits; study tobacco; troponin population; tobacco habits reported; cardiac troponin population; trondelag health study; health study tobacco; tobacco consumption; tobacco consumption sensitivity,1
11,parameter estimation data; load aggregators; customer scale load; potential analysis; evaluation; conditioning loads; energy consumption acls; evaluation dr potential; load decomposition methodology; data driven evaluation; energy consumption; methodology load; utilization power; house energy; data residential customers; decomposition methodology load; utilization power grid; data residential; operational demand response; response potential residential; grid evaluation dr; demand response potential; resource utilization power; methodology load level; residential air; smart meter; potential estimating power; grid evaluation; conditioning loads residential; meter data driven; loads residential air; air conditioning; potential residential air; meter data; house energy consumption; evaluation operational demand; smart meter data; residential air conditioning; power grid evaluation; air conditioning loads,0
12,south africa; increases environmental; co2 emissions energy; innovation accounting tests; africa addition energy; growth energy consumption; ekc south africa; environmental kuznets; globalization granger environmental; globalization condenses environmental; globalization co2 emissions; co2 emissions globalization; energy consumption democracy; consumption increases environmental; degradation context environmental; investigates effects energy; emissions energy consumption; democracy globalization environmental; globalization energy consumption; globalization innovation accounting; emissions globalization energy; environmental degradation south; effects energy consumption; co2 emissions economic; globalization environmental; environmental degradation context; modelling environmental; granger environmental degradation; environmental degradation causal; condenses environmental degradation; environmental degradation causality; environmental degradation democracy; environmental degradation; increases environmental degradation; africa effects energy; africa effects; degradation south africa; globalization environmental degradation; south africa effects; modelling environmental degradation,0
13,energy; distribution network topology; energy supplied; network reconfiguration including; vsi distribution networks; distribution network; dynamic distribution; unbalanced distribution network; network reconfiguration; distribution networks; energy supplied eens; optimal distribution network; resources storage penetration; penetration renewable; electrical energy; energy sources ress; storage penetration renewable; ress electrical energy; resources storage; strategy dynamic; management strategy; dynamic distribution network; energy sources; distribution network reconfiguration; reconfiguration renewable; energy resources; energy storage; energy storage ees; penetration renewable energy; renewable energy; strategy dynamic distribution; electrical energy storage; reconfiguration renewable energy; renewable energy sources; network reconfiguration renewable; management strategy dynamic; energy resources storage; renewable energy resources; energy management; energy management strategy,0
14,alkaline phosphatase pdl; alveolar bone formation; development targeting axin2; targeting axin2 pdl; levels axin2; tamoxifen induced axin2; dmp1 axin2lin; runx2 dmp1 axin2lin; axin2creert2 r26rtdtomato coimmunostaining; axin2creert2; conclude axin2; directly contribute alveolar; pdl alveolar bone; pdl cells conversely; expansion alveolar bone; dmp1 axin2lin pdl; accelerate alveolar bone; cells conversely ablation; dependent increases axin2; ablation axin2; cells directly contribute; axin2 lacz; staining axin2 lacz; axin2lin pdl; axin2 tracing; increases axin2; levels axin2 pdl; axin2 tracing axin2creert2; induced axin2; axin2 pdl; conclude axin2 pdl; axin2 pdl progenitor; induced axin2 tracing; ablation axin2 pdl; axin2 pdl progenitors; conversely ablation axin2; increases axin2 pdl; axin2lin pdl cells; contribute alveolar bone; axin2 pdl cells,1
15,releasing hydration products; gypsum fgdg; material flue; magnesium; mosc mixtures; waste material flue; performance fgdg incorporated; products study industrial; hydration products; hydration products detected; strength mosc mixtures; finally fgdg incorporated; content fgdg incorporated; products study; fgdg incorporated; fgdg incorporated mosc; hydration products paste; gypsum magnesium; industrial products study; flue gas; oxysulfate; gas desulfurization; gypsum fgdg incorporated; incorporated magnesium; incorporation untreated flue; oxysulfate cement mosc; untreated flue gas; desulfurization gypsum; fgdg incorporated magnesium; oxysulfate cement growing; material flue gas; oxysulfate cement; flue gas desulfurization; desulfurization gypsum fgdg; magnesium oxysulfate; gypsum magnesium oxysulfate; desulfurization gypsum magnesium; magnesium oxysulfate cement; gas desulfurization gypsum; incorporated magnesium oxysulfate,0
16,exploring indicators; focuses circular approach; relationship indicators ce; relationship indicators; decision support; developing indicators causal; draw framework adoption; emerging economy context; context emerging economy; framework hybrid decision; adoption study outcomes; laboratory approach framework; influence ce adoption; support approach; adoption circular green; economy context findings; circular approach; indicators circular; develops framework adoption; framework adoption; adoption emerging economies; adoption circular; hybrid decision support; framework adoption ce; exploring indicators circular; organisations ce adoption; adoption emerging economy; adoption framework hybrid; economy adoption; circular economy; indicators ce adoption; support approach circular; adoption framework; circular economy ce; approach circular economy; decision support approach; framework adoption circular; indicators circular economy; economy adoption framework; circular economy adoption,0
17,nsp1 binding; alterations sars cov; stabilize protein ligand; nsp1 computational approaches; cov nsp1 computational; artesunate cid6917864 artemiside; nsp1; drugs inhibit sars; structure antiviral; derivatives artesunate cid6917864; binds nsp1; cov nsp1; nsp1 multiplication host; protein ligand complexes; cid68827 binds nsp1; relies structural protein; nsp1 computational; topology nsp1; topology nsp1 binding; derivatives inhibitors sars; structural protein; sars cov nsp1; alterations sars; nsp1 multiplication; nsp1 binding artesunate; protein structure antiviral; protein structure; protein nsp1; topological alterations; structural topology nsp1; induces substantial topological; nsp1 protein; artesunate induces; protein nsp1 multiplication; cov nsp1 protein; substantial topological alterations; topological alterations sars; structural protein nsp1; artesunate induces substantial; nsp1 protein structure,1
18,power density nanoporous; harvest renewable; extraction nanofluidic; salinity gradient seawater; membrane maximum output; sustainable energy; gradient energy; harvesting extracting; mxene membranes highly; facile h2so4 oxidation; extracting osmotic energy; energy nanoporous membranes; ti3c2tx mxene sheets; osmotic energy nanoporous; energy nanoporous; energy extraction; porous ti3c2tx; efficient salinity gradient; highly efficient salinity; energy harvesting; salinity gradient energy; efficient harvest; energy salinity gradient; efficient salinity; energy harvesting extracting; energy salinity; efficient harvest renewable; nanoporous ti3c2tx; ti3c2tx mxene membranes; harvesting extracting osmotic; ti3c2tx mxene; membranes efficient harvest; membrane nanoporous ti3c2tx; osmotic energy extraction; density nanoporous ti3c2tx; sustainable energy salinity; gradient energy harvesting; energy extraction nanofluidic; porous ti3c2tx mxene; nanoporous ti3c2tx mxene,1
19,system powered hybrid; amount solar; cooling heating; thermal pvt; thermal pvt collector; thermal energy water; thermal energy; heating system; solar energy; performance combined solar; amount solar energy; lit solar; friendly combined solar; heat pvt; photovoltaic; solar cooling; heating cooling technologies; application solar; cooling heating system; combined solar cooling; solar energy electricity; heat pvt collector; heating system powered; solar heating; system photovoltaic; domestic application solar; electricity thermal; solar heating cooling; solar cooling heating; energy electricity thermal; electricity thermal energy; hybrid photovoltaic; powered hybrid photovoltaic; photovoltaic thermal pvt; photovoltaic thermal; application solar heating; photovoltaic thermal collector; heating system photovoltaic; hybrid photovoltaic thermal; system photovoltaic thermal,0
20,parasite microbiome; microbiome composition growing; microbiome composition observed; microbiome infected; sticklebacks varied parasite; dependent variation parasite; genotype dependent variation; contrast microbiome infected; microbiome composition; phenotype microbiome; differences microbiome sticklebacks; constitutive differences microbiome; iii parasite microbiome; parasite genotype genotype; infection contrast microbiome; microbiome depends; genotype parasite; differences microbiome; parasite microbiome distinct; individuals varied parasite; variation parasite immunomodulation; parasite microbiome composition; microbiome distinct host; infection status parasite; parasite genotype parasite; host genotype parasite; host phenotype microbiome; vary infection status; host microbiome depends; genotype parasite genotype; status parasite genotype; genotype parasite microbiome; varied parasite genotype; microbiome varies parasite; microbiome varies; microbiome vary; varies parasite genotype; microbiome vary infection; host microbiome varies; phenotype microbiome vary,1
21,antimicrobial agents poor; antimicrobial agent; stability antimicrobial agent; activity liposomal encapsulated; normal products aerobic; antibiotics; antimicrobial agents capability; products aerobic metabolism; antioxidants applied; review activity; agent antioxidants; encapsulated antioxidant; antioxidants; structure functions antioxidants; microorganism antimicrobial agents; antiviral agents; liposomal antioxidants enhance; antiviral agents reactive; liposomal antimicrobial; antimicrobial agents; functions antioxidants; arising antioxidant antimicrobial; antioxidant antibiotics; liposomal antimicrobial agent; antimicrobial agent liposomal; functions antioxidants applied; antioxidant antimicrobial; doses liposomal antimicrobial; systematic review; antibiotics antiviral; encapsulated antioxidant antibiotics; liposomal encapsulated antioxidant; antioxidant antimicrobial agents; antimicrobial agent antioxidants; systematic review activity; agent liposomal antioxidants; liposomal antioxidants; antioxidant antibiotics antiviral; antibiotics antiviral agents; review activity liposomal,1
22,markets sustainable economic; public health; jointly public health; public health expenditure; impacts labor; health support; assess population aging; economic social factors; labor market; strategies labor market; population aging public; economies labor; profound implications economies; health support eu; population aging; labor markets sustainable; eu labor market; perceived health economic; labor markets; aging impacts; challenges european union; public health support; aging public health; impact population; european union eu; european union; aging impacts labor; implications economies; labor market integration; eu labor markets; health expenditure implications; health economic; markets population aging; health economic social; labor markets population; implications economies labor; economies labor markets; impacts labor market; impact population aging; population aging impacts,0
23,technologies solar; generation technologies solar; solar photovoltaics; connected residential; communities household; community energy welfare; residential communities; solar photovoltaics peer; distributed photovoltaic; development distributed electricity; connected residential communities; trading residential; technologies solar photovoltaics; grid connected; trading grid; communities household distributed; electricity trading influenced; profits p2p electricity; residential communities household; p2p electricity; peer p2p electricity; electricity; trading grid connected; electricity generation technologies; distributed electricity; electricity generation; trading residential communities; peer electricity; electricity trading attracting; distributed electricity generation; peer peer electricity; grid connected residential; household distributed photovoltaic; electricity trading including; community p2p electricity; p2p electricity trading; electricity trading; electricity trading grid; peer electricity trading; electricity trading residential,0
24,atherosclerosis; study underwent fbp; aβ brain; defined atrial tachycardia; nondemented participants atherosclerosis; tachycardia premature atrial; pathology underlie association; adults association atrial; deposition aric pet; deposition aric; pet study; underlie association atrial; cortical aβ; study determine association; participants atherosclerosis; aβ brain pathology; atrial tachycardia; association atrial; amyloid; arrhythmias; amyloid deposition; associations atrial; amyloid aβ measured; aric pet study; amyloid aβ; arrhythmias cognition; amyloid deposition aric; arrhythmias brain; arrhythmias aβ; brain amyloid; brain amyloid deposition; brain amyloid aβ; atrial arrhythmias; arrhythmias aβ brain; atrial arrhythmias cognition; atrial arrhythmias brain; atrial arrhythmias aβ; arrhythmias brain amyloid; association atrial arrhythmias; associations atrial arrhythmias,1
25,separate myocardial cells; ventricular muscles neonatal; neonatal rat; efficient convenient nrcm; cells isolation; myocardial cells; neonatal; centrifugation methods; isolation methods compared; isolation culturing; muscles neonatal; isolation method iv; method isolation; convenient nrcm culturing; assessments isolation method; neonatal rats treated; myocardial cells isolation; convenient method; culturing neonatal; cells isolation methods; efficient convenient method; isolation method; culturing neonatal rat; neonatal rats; muscles neonatal rats; method isolation culturing; cardiomyocytes nrcm ventricular; isolation methods; cardiomyocytes; cardiomyocytes nrcm; convenient method isolation; isolation neonatal; cardiomyocytes isolation; rat cardiomyocytes nrcm; rat cardiomyocytes; isolation neonatal rat; rat cardiomyocytes isolation; neonatal rat cardiomyocytes; isolation culturing neonatal; cardiomyocytes isolation neonatal,1
26,attention approximate ability; quantity; existential quantifier algunos; task measure children; variance approximate; variables piecewise; methodological factors; existential quantifier; model interplay variables; approximate ability phrasal; quantifier algunos; children comparison; interplay variables piecewise; equation model sem; measure children; measurement; piecewise structural; equation modeling; quantifier algunos implicature; structural; equation model; quantifier; equation; child language review; modeling quantity; variables piecewise structural; quantity implicature; structural equation modeling; structural equation model; child language; implicature child; equation modeling quantity; structural equation; modeling quantity implicature; piecewise structural equation; pragmatic implicatures child; implicatures child; quantity implicature child; implicature child language; implicatures child language,1
27,care unit; arrest management; managing resuscitated patients; arrest care link; physicians managing resuscitated; patients cardiac; hospital cardiac; hospital discharge patients; patients admitted intensive; return spontaneous; circulation review; focus post cardiac; post cardiac; spontaneous circulation; intensive care; icu return spontaneous; cardiac arrest major; resuscitated patients cardiac; care unit functioning; unit icu return; outcomes hospital cardiac; critical outcomes hospital; admitted intensive care; arrest care; cardiac arrest; spontaneous circulation review; arrest management intensive; cardiac arrest icu; circulation update post; patients cardiac arrest; management intensive care; circulation update; intensive care unit; post cardiac arrest; hospital cardiac arrest; cardiac arrest care; update post cardiac; cardiac arrest management; return spontaneous circulation; spontaneous circulation update,1
28,tricomponent combination natural; drug moiety brain; delivery drug moiety; drug dose reduction; intranasal administration drugs; drugs promising; bioavailability drug; treatment neurodegenerative disorders; correlation vitamin quercetin; helps delivery drug; drugs promising approach; success development drug; combination vitamin; antioxidant; bioavailability drug dose; approaches combination vitamin; antioxidants; administration drugs promising; combination vitamin quercetin; antioxidant natural; development drug moiety; antioxidant natural based; nasally antioxidant; natural antioxidants; administered nasally antioxidant; antioxidants vitamin; natural antioxidants vitamin; alzheimer disorder ad; nasally antioxidant natural; antioxidants vitamin quercetin; enhances bioavailability drug; alzheimer disorder; delivery alzheimer; combination natural antioxidants; intranasal delivery alzheimer; alzheimer disorder tricomponent; innovation alzheimer; delivery alzheimer disorder; potential innovation alzheimer; innovation alzheimer disorder,1
29,flow hyperkalemia; renal response acute; hyperkalemia mediated; hyperkalemia blunt reabsorption; excretion noteworthy hyperkalemia; acute hyperkalemia mediated; mathematical model; channel renal outer; hyperkalemia blunts; critical hyperkalemia; noteworthy hyperkalemia; contribution uncertain kidney; channel renal; impact hyperkalemia blunt; impact hyperkalemia; mathematical model rat; contributions renal excretion; additive contributions renal; acute hyperkalemia; response acute hyperkalemia; kidney response; uncertain kidney; hyperkalemia; contributions renal; response hyperkalemia; hyperkalemia blunt; kidney model; epithelial channel renal; kidney model laboratory; iv kidney; uncertain kidney model; rat kidney; kidney iv kidney; rat kidney iv; kidney response hyperkalemia; iv kidney response; model rat kidney; hyperkalemia renal; hyperkalemia renal response; response hyperkalemia renal,1
30,differs hla; 501 differs hla; allele; 35; 35 501 differs; 35 02 01; nucleotides; 35 02; nucleotides exon; sanger dideoxy; chinese; nucleotide; individual hla; 01 01 nucleotides; 35 501; identified; sequencing; identified sanger; 01 nucleotides; hla 35 02; 01 nucleotides exon; hla 35; differs hla 35; allele identified sanger; sequencing chinese; hla 35 501; chinese individual; identified sanger dideoxy; individual hla 35; chinese individual hla; dideoxy nucleotide; 501 allele; sequencing chinese individual; allele identified; sanger dideoxy nucleotide; 35 501 allele; nucleotide sequencing; 501 allele identified; nucleotide sequencing chinese; dideoxy nucleotide sequencing,1
31,dna bacterium; chitinase system velezensis; experimentally characterized genes; possesses gh18 chitinases; molecular analysis; cloned escherichia coli; degradation chitinolytic; velezensis bacillus velezensis; insoluble chitin; chitinases chib; gh18 chitinases chib; coli sequence analysis; velezensis bacillus; coli purified rbvchib; chitinases amino acid; chitinases amino; degraded insoluble chitin; bacillus velezensis; 18 chitinases amino; bacillus velezensis bacillus; bacillus velezensis rb; analysis genes; analysis chitinase system; bacterium bacillus; describing analysis chitinase; escherichia coli sequence; analysis genes involved; genes involved chitin; genomic dna bacterium; chitinases aa10 protein; chitin degradation; bacterial gh18 chitinases; analysis chitinase; bacterium bacillus velezensis; involved chitin degradation; molecular analysis genes; chitinolytic bacterium; chitin degradation chitinolytic; chitinolytic bacterium bacillus; degradation chitinolytic bacterium,1
32,managing; managing acute; prevalence; 19; vaccines covid 19; razor; 19 pandemic; thrombosis reference institution; thrombosis reference; covid 19 accompanied; covid 19 pandemic; acute thrombosis reference; covid 19; thrombocytopaenia vitts; thrombocytopaenia; razor managing; common acute thrombosis; thrombosis thrombocytopaenia vitts; occam; 19 era; thrombosis thrombocytopaenia; syndrome thrombosis thrombocytopaenia; era covid 19; razor managing acute; thrombosis prevalence patients; 19 era covid; rare syndrome thrombosis; deal acute thrombosis; syndrome thrombosis; thrombosis prevalence; acute thrombosis; acute thrombosis covid; acute thrombosis prevalence; covid 19 era; thrombosis; thrombosis covid; occam razor; managing acute thrombosis; thrombosis covid 19; occam razor managing,1
33,peculiar; lutea; boissieri typified; species; stems calyx; turkey typification; colour taxa genus; lutea corolla; taxa genus; se turkey; phelypaea includes; lutea corolla calyx; species genus; holoparasite; phelypaeaboissierif lutea hakkari; phelypaea includes holoparasite; holoparasite species intense; form turkey typification; phelypaea; genus phelypaea includes; peculiar form; includes holoparasite species; typification species; peculiar form turkey; typification species genus; turkey typification species; genus phelypaea; holoparasite species; species genus phelypaea; orobanchaceae; phelypaeaboissierif; phelypaeaboissierif lutea; coloured form phelypaeaboissierif; form phelypaeaboissierif; lutea orobanchaceae; form phelypaeaboissierif lutea; orobanchaceae peculiar; lutea orobanchaceae peculiar; orobanchaceae peculiar form; phelypaeaboissierif lutea orobanchaceae,1
34,income sale digestate; digestate rich; systems daily income; eur digestate produced; digestate assessed; digested pulp agricultural; fertilizers; digestate produced worth; properties digestate digested; nutrient; fertilizers economic; prices fertilizers economic; farms; fertilizing properties; market prices fertilizers; examine fertilizing properties; farms element; digestate installations estimated; digestate rich nitrogen; properties digestate; fm digestate installations; element nutrient; prices fertilizers; fertilizers economic digestate; digestate produced; principle nutrient; fertilizing properties digestate; digestate installations; plants principle nutrient; principle nutrient recovery; nutrient cycle aims; management polish; nutrient cycle; polish farms element; polish farms; digestate management; element nutrient cycle; farms element nutrient; digestate management polish; management polish farms,0
35,coal mining; political economic drivers; political momentum shift; actors coal corporations; coal poland drivers; hard coal; largest hard coal; coal resistance; actors coal; drivers barriers reduction; percent electricity coal; fuels poland; poland drivers barriers; drivers barriers shift; coal resistance reduction; fossil fuels; consumption actors coal; electricity coal; dependent coal; regions dependent coal; barriers shift fossil; coal poland; uneconomic coal mining; shift coal international; uneconomic coal; economic drivers barriers; fossil fuels poland; reduction coal production; shift coal; reduction coal; targeting reduction coal; framework uneconomic coal; momentum shift coal; electricity coal resistance; shift fossil fuels; economy coal; resistance reduction coal; barriers reduction coal; economy coal poland; political economy coal,0
36,storage system spinning; scheduling offering strategy; markets dealing energy; market energy; participation model energy; energy market; formulation wind thermal; storage generation; market lucrative energy; strategy energy; resources wind; coordinated wind; storage system offering; renewable energy; wind thermal energy; energy resources wind; alongside energy market; dispatchable energy sources; resources wind individually; market alongside energy; energy market energy; system offering strategy; spinning reserve market; lucrative energy market; renewable energy resources; offering strategy energy; stage model renewable; model renewable energy; strategy energy spinning; energy storage; reserve markets multi; energy storage system; spinning reserve markets; coordinated wind thermal; energy storage generation; thermal energy storage; energy storage offering; model energy storage; market energy storage; storage offering strategy,0
37,efficiency pivotal economic; efficiency evidence; efficiency energy usage; determine efficiency energy; efficiency evidence oecd; evidence oecd countries; emissions ci economic; economic efficiency improve; level energy efficiency; efficiency energy; association economic environmental; energy environmental; efficiency reduce emission; economic environmental; efficiency improve environmental; energy efficiency reduce; oecd economies environment; economic efficiency; energy efficiency pivotal; environmental proficiency energy; improve environmental efficiency; proficiency energy efficiency; efficiency countries; economies environment; energy efficiency strong; economic proficiency environmental; energy efficiency; terms energy efficiency; economics energy; efficiency countries oecd; economies environment quality; efficiency eee countries; environmental efficiency attainment; environmental efficiency; economics energy environmental; environmental efficiency eee; energy environmental efficiency; economic environmental efficiency; environmental efficiency evidence; environmental efficiency countries,0
38,knee; onychodysplasia; tetrad dysplasia; elbow renal; patellar hypoplasia absence; instability pain functional; spectrum orthopedic surgeon; report hereditary osteo; clinical tetrad dysplasia; knees rare clinical; patellar hypoplasia; orthopedic surgeon treatment; orthopedic complaint; syndrome rare autosomal; complaint patients patellar; spectrum orthopedic; fingernails patellar hypoplasia; osteo onychodysplasia nail; orthopedic complaint patients; hereditary osteo; total knee; symptomatic treatment knees; patients patellar; deformities elbow renal; underwent total knee; osteo onychodysplasia; arthroplasty; hereditary osteo onychodysplasia; osteoarthritis patient nail; osteoarthritis; osteoarthritis patient; arthroplasty knee; arthroplasty osteoarthritis patient; arthroplasty osteoarthritis; knee arthroplasty knee; knee osteoarthritis; knee arthroplasty; arthroplasty knee osteoarthritis; total knee arthroplasty; knee arthroplasty osteoarthritis,1
