uuid,Keywords,label
10,budget; food; observed; security; approach; consumption; aims; achievement; population; insecure; vegetables; aspects; expenditure; diet; strategies; europe; policymakers; academics; sustainable; abruzzo; poverty strand; insecurity insights food; global poverty; poverty hunger; global poverty hunger; poverty hunger malnutrition; poverty italy individuals; poverty strand focuses; food insecurity; food insecurity population; economic perspective; targets global poverty; poverty rate; multifaceted nature poverty; food poverty food; extreme food insecurity; poverty; poverty food; food poverty rate; risk food poverty,1
11,methodology; resource; response; reduction; operational; scale; thermal; grid; parameter; demonstrate; air; experiments; usage; conditions; data; resources; maximum; house; baseload; controllability; parameter estimation data; load aggregators; customer scale load; potential analysis; evaluation; conditioning loads; energy consumption acls; evaluation dr potential; load decomposition methodology; data driven evaluation; energy consumption; methodology load; utilization power; house energy; data residential customers; decomposition methodology load; utilization power grid; data residential; operational demand response; response potential residential,0
12,ekc; fm; bayer; ols; positively; granger; modified; confirm; combined; causality; empirical; running; test; validate; co2; finding; validated; democracy; applies; increases; south africa; increases environmental; co2 emissions energy; innovation accounting tests; africa addition energy; growth energy consumption; ekc south africa; environmental kuznets; globalization granger environmental; globalization condenses environmental; globalization co2 emissions; co2 emissions globalization; energy consumption democracy; consumption increases environmental; degradation context environmental; investigates effects energy; emissions energy consumption; democracy globalization environmental; globalization energy consumption; globalization innovation accounting,0
13,charge; prolong; justification; impactzsecurity; unbalanced; facilities; costs; optimal; penetration; indices; sources; underlying; approach; scale; optimize; lifetime; increasing; charging; discharge; energy; distribution network topology; energy supplied; network reconfiguration including; vsi distribution networks; distribution network; dynamic distribution; unbalanced distribution network; network reconfiguration; distribution networks; energy supplied eens; optimal distribution network; resources storage penetration; penetration renewable; electrical energy; energy sources ress; storage penetration renewable; ress electrical energy; resources storage; strategy dynamic,0
14,reduction; progenitor; accelerate; malocclusion; tooth; directly; tension; catenin; formation; progenitors; increases; bones; cell; induced; ligament; subunit; pdl; ablation; mineral; tamoxifen; alkaline phosphatase pdl; alveolar bone formation; development targeting axin2; targeting axin2 pdl; levels axin2; tamoxifen induced axin2; dmp1 axin2lin; runx2 dmp1 axin2lin; axin2creert2 r26rtdtomato coimmunostaining; axin2creert2; conclude axin2; directly contribute alveolar; pdl alveolar bone; pdl cells conversely; expansion alveolar bone; dmp1 axin2lin pdl; accelerate alveolar bone; cells conversely ablation; dependent increases axin2; ablation axin2,1
15,paste; utilizing; mechanical; detected; phase; so42; concern; microstructure; compressive; evaluated; absorption; analysis; electron; development; material; researchers; carbon; evaluation; 7h; industrial; releasing hydration products; gypsum fgdg; material flue; magnesium; mosc mixtures; waste material flue; performance fgdg incorporated; products study industrial; hydration products; hydration products detected; strength mosc mixtures; finally fgdg incorporated; content fgdg incorporated; products study; fgdg incorporated; fgdg incorporated mosc; hydration products paste; gypsum magnesium; industrial products study; flue gas,0
16,sustainably; utilisation; rights; developing; context; computes; technological; predicting; method; relationship; develops; resources; causal; growth; hybrid; influence; approach; policymakers; decision; informational; exploring indicators; focuses circular approach; relationship indicators ce; relationship indicators; decision support; developing indicators causal; draw framework adoption; emerging economy context; context emerging economy; framework hybrid decision; adoption study outcomes; laboratory approach framework; influence ce adoption; support approach; adoption circular green; economy context findings; circular approach; indicators circular; develops framework adoption; framework adoption,0
17,inhibit; substantial; computational; stabilize; interactions; severe; complexes; inhibition; simulation; cells; kcal; cid68827; sars; cid11531457; causative; multiplication; antiviral; pharmacokinetic; topology; parameters; nsp1 binding; alterations sars cov; stabilize protein ligand; nsp1 computational approaches; cov nsp1 computational; artesunate cid6917864 artemiside; nsp1; drugs inhibit sars; structure antiviral; derivatives artesunate cid6917864; binds nsp1; cov nsp1; nsp1 multiplication host; protein ligand complexes; cid68827 binds nsp1; relies structural protein; nsp1 computational; topology nsp1; topology nsp1 binding; derivatives inhibitors sars,1
18,highly; sheets; promising; gradient; seawater; inherent; output; extracting; employing; osmotic; porous; nanoporous; dimensional; ph; boosting; enhancement; prospect; nanopores; power; sustainable; power density nanoporous; harvest renewable; extraction nanofluidic; salinity gradient seawater; membrane maximum output; sustainable energy; gradient energy; harvesting extracting; mxene membranes highly; facile h2so4 oxidation; extracting osmotic energy; energy nanoporous membranes; ti3c2tx mxene sheets; osmotic energy nanoporous; energy nanoporous; energy extraction; porous ti3c2tx; efficient salinity gradient; highly efficient salinity; energy harvesting,1
19,comprises; main; water; gwp; coefficient; vital; efficiency; outlet; technologies; refrigerants; phenomenon; eco; pvt; panel; collector; refrigerant; residential; refrigeration; applications; system; system powered hybrid; amount solar; cooling heating; thermal pvt; thermal pvt collector; thermal energy water; thermal energy; heating system; solar energy; performance combined solar; amount solar energy; lit solar; friendly combined solar; heat pvt; photovoltaic; solar cooling; heating cooling technologies; application solar; cooling heating system; combined solar cooling,0
20,dependent; addition; constitutive; contribute; impact; increased; sticklebacks; correlates; abundance; origin; iii; distinct; exposure; helminths; genes; impacts; status; gene; composition; host; parasite microbiome; microbiome composition growing; microbiome composition observed; microbiome infected; sticklebacks varied parasite; dependent variation parasite; genotype dependent variation; contrast microbiome infected; microbiome composition; phenotype microbiome; differences microbiome sticklebacks; constitutive differences microbiome; iii parasite microbiome; parasite genotype genotype; infection contrast microbiome; microbiome depends; genotype parasite; differences microbiome; parasite microbiome distinct; individuals varied parasite,1
21,structure; removal; anion; stability; fungi; systems; disease; bioavailability; superoxide; activity; solubility; inhibitor; concentrations; including; peroxide; encapsulated; reactive; protection; microorganism; agents; antimicrobial agents poor; antimicrobial agent; stability antimicrobial agent; activity liposomal encapsulated; normal products aerobic; antibiotics; antimicrobial agents capability; products aerobic metabolism; antioxidants applied; review activity; agent antioxidants; encapsulated antioxidant; antioxidants; structure functions antioxidants; microorganism antimicrobial agents; antiviral agents; liposomal antioxidants enhance; antiviral agents reactive; liposomal antimicrobial; antimicrobial agents,1
22,government; social; jointly; challenges; manifest; countries; gaussian; robust; requisites; structural; public; life; services; factors; hospital; healthy; workforce; expenditure; market; sustainable; markets sustainable economic; public health; jointly public health; public health expenditure; impacts labor; health support; assess population aging; economic social factors; labor market; strategies labor market; population aging public; economies labor; profound implications economies; health support eu; population aging; labor markets sustainable; eu labor market; perceived health economic; labor markets; aging impacts,0
23,benefits; participants; paper; total; autonomy; p2p; consumption; ratio; price; mechanism; practical; helping; abilities; prosumers; generation; based; simulations; solutions; technologies; welfare; technologies solar; generation technologies solar; solar photovoltaics; connected residential; communities household; community energy welfare; residential communities; solar photovoltaics peer; distributed photovoltaic; development distributed electricity; connected residential communities; trading residential; technologies solar photovoltaics; grid connected; trading grid; communities household distributed; electricity trading influenced; profits p2p electricity; residential communities household; p2p electricity,0
24,community; defined; risk; aim; zio; determine; history; xt; nondemented; measured; adults; premature; ratio; florbetapir; pet; uptake; fbp; communities; evaluated; contractions; atherosclerosis; study underwent fbp; aβ brain; defined atrial tachycardia; nondemented participants atherosclerosis; tachycardia premature atrial; pathology underlie association; adults association atrial; deposition aric pet; deposition aric; pet study; underlie association atrial; cortical aβ; study determine association; participants atherosclerosis; aβ brain pathology; atrial tachycardia; association atrial; amyloid; arrhythmias,1
25,suspensions; quantity; morphology; collected; process; muscles; simple; rate; nrcm; tissue; collagenase; adhesion; treated; digestion; stepwise; vitality; survival; solutions; assessments; purity; separate myocardial cells; ventricular muscles neonatal; neonatal rat; efficient convenient nrcm; cells isolation; myocardial cells; neonatal; centrifugation methods; isolation methods compared; isolation culturing; muscles neonatal; isolation method iv; method isolation; convenient nrcm culturing; assessments isolation method; neonatal rats treated; myocardial cells isolation; convenient method; culturing neonatal; cells isolation methods,1
26,lexicon; lexical; ability; pragmatic; accounting; model; phrasal; inconsistent; data; existential; syntax; measures; piecewise; consistent; variance; interpretations; children; inhibition; behavioral; measure; attention approximate ability; quantity; existential quantifier algunos; task measure children; variance approximate; variables piecewise; methodological factors; existential quantifier; model interplay variables; approximate ability phrasal; quantifier algunos; children comparison; interplay variables piecewise; equation model sem; measure children; measurement; piecewise structural; equation modeling; quantifier algunos implicature; structural,1
27,underscores; greatly; provide; review; health; focused; focus; care; chain; functioning; increased; icu; survivors; neurological; post; outcomes; admission; workgroup; physicians; recommendations; care unit; arrest management; managing resuscitated patients; arrest care link; physicians managing resuscitated; patients cardiac; hospital cardiac; hospital discharge patients; patients admitted intensive; return spontaneous; circulation review; focus post cardiac; post cardiac; spontaneous circulation; intensive care; icu return spontaneous; cardiac arrest major; resuscitated patients cardiac; care unit functioning; unit icu return,1
28,decline; active; complexity; promising; invasive; brain; reduction; development; potential; treatment; natural; pathology; quercetin; combined; products; disorder; toxicity; alleviate; tricomponent; intranasal; tricomponent combination natural; drug moiety brain; delivery drug moiety; drug dose reduction; intranasal administration drugs; drugs promising; bioavailability drug; treatment neurodegenerative disorders; correlation vitamin quercetin; helps delivery drug; drugs promising approach; success development drug; combination vitamin; antioxidant; bioavailability drug dose; approaches combination vitamin; antioxidants; administration drugs promising; combination vitamin quercetin; antioxidant natural,1
29,flux; effects; atpase; excretion; response; depolarize; cell; henle; enac; ray; iv; rat; tubules; mechanism; tubule; ample; pct; labyrinth; model; ph; flow hyperkalemia; renal response acute; hyperkalemia mediated; hyperkalemia blunt reabsorption; excretion noteworthy hyperkalemia; acute hyperkalemia mediated; mathematical model; channel renal outer; hyperkalemia blunts; critical hyperkalemia; noteworthy hyperkalemia; contribution uncertain kidney; channel renal; impact hyperkalemia blunt; impact hyperkalemia; mathematical model rat; contributions renal excretion; additive contributions renal; acute hyperkalemia; response acute hyperkalemia,1
30,differs; exon; sanger; individual; hla; dideoxy; allele; nucleotides; chinese; nucleotide; identified; sequencing; differs hla; 501 differs hla; allele; 35; 35 501 differs; 35 02 01; nucleotides; 35 02; nucleotides exon; sanger dideoxy; chinese; nucleotide; individual hla; 01 01 nucleotides; 35 501; identified; sequencing; identified sanger; 01 nucleotides; hla 35 02,1
31,characterized; degraded; catalytic; cultivated; chia; sequence; insoluble; protein; escherichia; encodes; identified; peptide; germination; rhizosphere; sequences; cbm; amino; bvlpmo10; ibe29; analysis; dna bacterium; chitinase system velezensis; experimentally characterized genes; possesses gh18 chitinases; molecular analysis; cloned escherichia coli; degradation chitinolytic; velezensis bacillus velezensis; insoluble chitin; chitinases chib; gh18 chitinases chib; coli sequence analysis; velezensis bacillus; coli purified rbvchib; chitinases amino acid; chitinases amino; degraded insoluble chitin; bacillus velezensis; 18 chitinases amino; bacillus velezensis bacillus,1
32,reference; unnecessary; reports; possibility; distract; deal; rare; potential; focus; remains; practice; development; influenced; profoundly; vaccines; pandemic; vitts; patients; immunised; clinicians; managing; managing acute; prevalence; 19; vaccines covid 19; razor; 19 pandemic; thrombosis reference institution; thrombosis reference; covid 19 accompanied; covid 19 pandemic; acute thrombosis reference; covid 19; thrombocytopaenia vitts; thrombocytopaenia; razor managing; common acute thrombosis; thrombosis thrombocytopaenia vitts; occam; 19 era,1
33,intense; entire; mountains; worldwide; population; brown; rarely; references; orange; includes; brownish; se; scales; taxa; typical; hakkari; pale; stem; turkey; folds; peculiar; lutea; boissieri typified; species; stems calyx; turkey typification; colour taxa genus; lutea corolla; taxa genus; se turkey; phelypaea includes; lutea corolla calyx; species genus; holoparasite; phelypaeaboissierif lutea hakkari; phelypaea includes holoparasite; holoparasite species intense; form turkey typification; phelypaea; genus phelypaea includes,1
34,recovery; balance; 1mw; examine; aims; samples; plant; fm; produced; daily; substrates; prices; potassium; element; analysis; systems; plants; conditions; principle; digested; income sale digestate; digestate rich; systems daily income; eur digestate produced; digestate assessed; digested pulp agricultural; fertilizers; digestate produced worth; properties digestate digested; nutrient; fertilizers economic; prices fertilizers economic; farms; fertilizing properties; market prices fertilizers; examine fertilizing properties; farms element; digestate installations estimated; digestate rich nitrogen; properties digestate,0
35,deal; policy; rising; green; regions; losing; investments; measures; generating; corporations; government; change; feasibility; shift; lignite; unions; mining; concerns; infrastructure; fossil; coal mining; political economic drivers; political momentum shift; actors coal corporations; coal poland drivers; hard coal; largest hard coal; coal resistance; actors coal; drivers barriers reduction; percent electricity coal; fuels poland; poland drivers barriers; drivers barriers shift; coal resistance reduction; fossil fuels; consumption actors coal; electricity coal; dependent coal; regions dependent coal,0
36,methodology; approach; dispatchable; concurrently; disclose; profitability; hybrid; formulation; scheduling; profit; scenarios; markets; output; optimal; reserve; dealing; system; discharging; based; minimizes; storage system spinning; scheduling offering strategy; markets dealing energy; market energy; participation model energy; energy market; formulation wind thermal; storage generation; market lucrative energy; strategy energy; resources wind; coordinated wind; storage system offering; renewable energy; wind thermal energy; energy resources wind; alongside energy market; dispatchable energy sources; resources wind individually; market alongside energy,0
37,quality; development; pec; brunei; dea; practical; carbon; population; assess; operation; singapore; illustrate; consumption; association; proficiency; study; assessment; organization; optimal; inputs; efficiency pivotal economic; efficiency evidence; efficiency energy usage; determine efficiency energy; efficiency evidence oecd; evidence oecd countries; emissions ci economic; economic efficiency improve; level energy efficiency; efficiency energy; association economic environmental; energy environmental; efficiency reduce emission; economic environmental; efficiency improve environmental; energy efficiency reduce; oecd economies environment; economic efficiency; energy efficiency pivotal; environmental proficiency energy,0
38,fingernails; underwent; severity; severe; cure; treatments; complaint; absence; adequate; functional; patient; renal; patella; deformities; ocular; spectrum; iliac; elbow; skeletally; practitioner; knee; onychodysplasia; tetrad dysplasia; elbow renal; patellar hypoplasia absence; instability pain functional; spectrum orthopedic surgeon; report hereditary osteo; clinical tetrad dysplasia; knees rare clinical; patellar hypoplasia; orthopedic surgeon treatment; orthopedic complaint; syndrome rare autosomal; complaint patients patellar; spectrum orthopedic; fingernails patellar hypoplasia; osteo onychodysplasia nail; orthopedic complaint patients; hereditary osteo,1
39,evs; pcm; constraints; focus; reduce; lifespan; practical; petrol; negative; performance; limited; transition; change; combination; reviews; safety; direction; volume; ion; active; inside battery; lithium ion; safety battery proper; terms maximum battery; thermal management power; thermal management systems; battery; maximum battery; article reviews battery; power battery; battery highly; safety battery; active passive systems; proper battery; thermal management techniques; passive hybrid thermal; battery highly sensitive; developments passive hybrid; performance power battery; ion battery highly,0
40,range; hypothesised; specific; serves; structure; roles; loosening; factors; key; primary; central; molecules; proven; polysaccharides; main; role; multiple; findings; genetic; reverse; findings enzyme; hydrolase activity xths; reconsider role xths; molecules xyloglucan molecules; family xths; family xths strictly; polysaccharides xyloglucans; hydrolase family plants; range polysaccharides xyloglucans; xyloglucan molecules; hydrolase xth; reconnects xyloglucan; reconnects xyloglucan molecules; xyloglucan; reconsidering function; xyloglucans; transglycosylase activity; enzyme family; addition transglycosylase activity; stresses addition transglycosylase,1
41,capacity; properties; identified; optimal; proved; cation; functional; achieving; cs2; langmuir; removal; concentration; electrostatic; investigate; interactions; equilibrium; pb; acidbase; incorporated; functionalized; adsorption capacity increasing; ii adsorption investigation; adsorption pb ii; investigation adsorption; adsorption adsorption capacity; optimal ph adsorption; adsorption adsorption; gocs enhanced pb; surface reactivity carbon; ii adsorption; disulfide cs2 functionalization; ii adsorption gocs; reactivity carbon; functionalization graphene; effects carbon; pb ii adsorption; adsorption mechanism; carbon disulfide cs2; ii adsorption adsorption; driven functionalization graphene,0
42,action; dna; levels; tfrc; active; affect; positive; hematological; cd8; rays; coumarate; ionizing; cell; model; rat; phases; cd4; radicals; combination; tissue; peroxidation lp nitric; cytotoxic cell; irradiated rats treated; oxide nox total; cd4 cytotoxic cell; irradiated rats treatment; antioxidant levels helper; active combination radio; antioxidant levels; radio mitigating; differentiation cd4 cytotoxic; zncanps natural mitigating; zinc coumarate; coumarate zinc; tissue irradiated rats; oxide nox; model zinc; natural mitigating agents; caffeinate rat; radio mitigating agents,1
43,government; proxy; social; auto; explore; relationship; represented; decision; cluster; factor; country; renewable; population; causal; lobbying; dependence; jeopardize; health; variables; investigate; relationships health; human health environmental; energy dependence; health environmental; analysis cluster 12; consumption social factors; health renewable; indicators population economic; relationships renewable; energy consumption; development renewable energy; causal relationships health; social factors health; countries analysis potential; health environmental degradation; 12 eu countries; european countries characterized; dependence countries health; investigate relationship renewable; cluster 12 european,0
44,coe; speed; tools; estimate; direction; cf; factor; factors; saving; flux; capacity; production; scale; tariff; positive; net; algeria; meteorologie; output; development; estimate energy output; analysis hourly wind; region economically viable; development wind characteristics; wind farm terms; study wind; la meteorologie algerian; study wind speed; power potential; development wind; focused windfarm; algeria focused windfarm; potential economic; energy production; hourly wind; wind speed energy; energy south west; wind farm; windfarm; wind power,0
45,inflammatory; arpc1b; patterns; differential; carbohydrate; conserved; compositional; defined; vascular; electronic; methylated; gene; database; critical; observed; systematic; correlation; collected; mitochondria; structural; expression analysis unveil; core aging biological; defined aging genes; females gene expression; expression patterns obese; obese obese females; obese females weighted; gene ontology enrichment; data aging; omics data; integrative analysis; genes obese females; collected females age; analysis gene set; analysis multi; analysis aging; adipose tissue sat; analysis multi omics; subcutaneous adipose; analysis aging degs,1
46,markets; agents; grids; rights; sizing; maximum; equipment; explores; flexibility; task; techno; savings; photovoltaic; consumers; prosumers; market; generation; benefits; policymakers; grid; task assessing; peer peer energy; grid technologies; increasing distributed renewable; scenario flexibility solar; distributed renewable; trading scheme 2020; market explores potential; residential sector techno; explores potential; grid technologies transforming; technologies transforming electricity; potential p2p energy; trading scenario flexibility; renewable energy systems; trading technologies; prosumers solar generation; tariff availabilities; renewable energy; distributed renewable energy,0
47,search; taxa; internal; provided; combined; cultured; closest; nuclear; spacer; belong; tree; sequence; based; named; diversity; sequences; phylogenetic; nov; dna; genbank; genera species microthyriaceae; genus microthyrium phylogenetic; hainanense gen; sp nov pseudocoronospora; genera species; china isolates collected; hainanense; isolates genera species; china; freshwater southern; pseudocoronospora hainanense descriptions; aquatic hyphomycetes; aquatica; microthyriaceae named keqinzhangia; aquatica pseudocoronospora; hyphomycetes southern; aquatica gen; diversity aquatic; hainanense gen sp; pseudocoronospora hainanense gen,1
48,generation; optimized; combined; solar; cooling; units; leverages; battery; scenarios; distributed; emissions; heating; thermal; technical; greenhouse; simulation; generations; optimization; stability; power; storage systems bess; topology distribution feeder; bus microgrid; energy system combined; microgrid simulation; distribution feeder multiple; microgrid simulation outcomes; power control improves; energy system; systems energy; energy storage; microgrid; day ahead energy; thermal energy storage; hybrid energy system; feeder multiple operation; microgrid hybrid; cchp energy storage; economic efficiency microgrids; microgrid hybrid bang,0
49,based; molecular; margin; orange; mangold; reported; time; thalline; weerakoon; position; sp; studied; characteristics; chemical; sequences; pruina; morphological; wolseleyana; science; recombined; records china wolseleyana; species china provided; china wolseleyana weerakoon; species chapsa key; mangold chapsamurioelongata; chapsawolseleyana; mangold chapsamurioelongata sp; chapsamurioelongata sp nov; graphidaceae; astrochapsa based; ascospores chapsawolseleyana; ascospores chapsawolseleyana recombined; recombined astrochapsa; recombined astrochapsa based; china studied genus; chapsamurioelongata; astrochapsa based phenotypic; records china; chapsawolseleyana recombined; chapsamurioelongata sp,1
50,attention; examine; sector; national; opportunities; union; mandatory; gross; data; sources; employ; variables; transport; funding; objective; dependent; positive; domestic; causality; implementation; consumption income; targets renewable; energy targets; national targets renewable; energy; national renewable; final consumption; energy transport share; objective energy; energy transport; final consumption causality; deployment renewable; countries deployment renewable; consumption income eu; res final consumption; share renewable energy; implementation national renewable; energy consumption contrary; energy sector; targets renewable energy,0
51,demand; financial; marginal; sector; infers; nexuses; accrue; environment; urban; investigating; region; devise; asian; approach; heterogeneous; policies; heterogenous; linkage; bidirectional; unrelated; causality financial development; development indicators 32; investigating nexuses energy; development industrial progression; devise energy policies; unrelated regression; seemingly unrelated regression; progression accrue energy; consumption economy; indicators energy; energy consumption; economies including; indicators deteriorating energy; industrial progression accrue; energy policies financial; indicators nexuses asian; economic growth urban; unrelated regression approach; energy consumption devise; energy consumption financial,0
52,ardl; responded; time; positive; existence; carbon; supports; insignificant; negative; variables; improve; shocks; contrary; combustible; alternative; relationship; renewable; study; nuclear; consumption; energy variables compared; emission pakistan annual; emission pakistan; environmental quality future; short asymmetric effects; asymmetries; shocks asymmetric findings; energy clean; potential clean energy; taxation renewable energy; asymmetric effects; confirm existence asymmetries; quality pakistan; clean energy consumption; clean energy; pakistan economy; pakistan study; clean energy supports; asymmetries nexus clean; examines short asymmetric,0
53,saxicola; wulfen; evolutus; orophilus; contractusvar; taxonomic; collivagus; neotypified; icones; types; lectotype; sylvestrisvar; specimen; identification; lectotypified; godronianus; florae; sylvestris; consimilis; germanicae; sylvestris wulfen lectotype; indication nomenclatural; dianthussubacaulis; dianthusvirgineus discussed; sylvestrisvar garganicus; florae germanicae helveticae; sylvestrisvar garganicus ten; moris sylvestrisvar garganicus; synonymies type indication; moris caryophyllusf; discussed dianthuscaryophyllusvar; type indication nomenclatural; caryophyllusf; dianthusvirgineusvar tergestinus rchb; specimen dianthussubacaulis; synonymies type; tenore dianthusvirgineusvar tergestinus; discussed dianthuscaryophyllusvar tenuifolius; dianthusvirgineus; herbarium tenore dianthusvirgineusvar,1
54,region; control; helpful; emission; greenhouse; depletion; intervention; analyzes; stimulating; study; improving; resources; incidence; households; activities; risks; improvement; fuel; mortality; diseases; factors increasing health; energy factors; clean energy improvement; activities health quality; diseases emerging economies; emissions economic activities; emissions economic; activities health risks; increasing health risks; energy improvement capita; gasses emissions control; improving environmental; negative effects; issues improving environmental; fuels environmental; environmental quality; clean energy factors; emissions control health; economic activities health; pollution energy,0
55,cytochrome; promoted; pseudomonas; respiration; activated; physiological; reduction; growth; denitrifying; putida; cells; cell; pef; permeability; aerobic; micro; density; pulsed; promotes; genes; membrane porin opdb; membrane promoted; simultaneous cell membrane; cell membrane damage; increased removal efficiency; improving cell; cell membrane strain; expression membrane; membrane promoted transport; membrane electron transfer; electron transfer aerobic; differential expression membrane; membrane strain w207; membrane electron; growth metabolism aerobic; expression membrane porin; ciob cell membrane; 14 improving cell; pef promoting growth; metabolism aerobic denitrifying,1
56,dependent; curve; fdi; environment; functions; country; variables; region; offers; modelling; emissions; sources; formulated; production; econometric; expenditures; modeling; avenues; proposes; academics; examining innovation; perspective environmental; formulated production energy; region simultaneous; consumption innovation; pollution growth; economics; oecd economies period; consumption innovation fdi; oecd economies time; economies; modeling approach; innovation; nexus simultaneous equation; innovation fdi; environmental resource economics; energy pollution growth; fuel consumption innovation; simultaneous equation; investment fdi energy,0
57,branches; employed; marks; concept; decision; science; multi; conducted; slr; highlighting; demonstrates; interaction; map; relevance; levels; implementation; focus; relation; outline; multiple; construct criteria methodologies; criteria indicators; relation level circularity; circularity; economy; systematic literature review; level circularity implementation; economy ce indicators; circularity implementation; criteria methodologies applied; system criteria indicators; aims review multiple; indicators review outline; economy multi; multi criteria methods; review multiple criteria; indicators support circularity; criteria methodologies; criteria methods; circularity implementation subdivided,1
