uuid,Keywords,label
0,subclinical; habits; intensity; measured; smokers; smoking; cigarette; cardiovascular; concentrations; population; troponin; troponins; study; consumption; tobacco,1
21,organs; protozoa; oxygen; microorganisms; products; aerobic; systematic; liposomal; metabolism; review; antiviral; antimicrobial; antioxidant; antibiotics; antioxidants,1
22,markets; labor; regression; implications; union; impact; aging; health; employment; population; european; macroeconometric; impacts; economic; economies,0
23,supply; distributed; connected; energy; trading; solar; community; household; grid; photovoltaics; residents; residential; communities; photovoltaic; electricity,0
24,aβ; aric; brain; deposition; cortical; pathology; atrial; tachycardia; study; association; cognition; associations; atherosclerosis; amyloid; arrhythmias,1
25,culturing; ventricular; centrifuged; convenient; digestive; pulsation; centrifugation; method; rats; efficient; myocardial; methods; isolation; neonatal; cardiomyocytes,1
26,statistical; modeling; child; variables; components; methodological; language; implicatures; implicature; approximate; quantity; measurement; structural; quantifier; equation,1
27,improved; critical; management; cardiac; discharge; patients; intensive; resuscitated; update; urgent; hospital; recovery; arrest; return; circulation,1
28,biomarkers; synergistic; disorders; substances; dose; combination; innovation; drug; drugs; vitamin; enhances; neurodegenerative; alzheimer; antioxidant; antioxidants,1
29,proximal; ammonia; laboratory; tubuloglomerular; cytosolic; luminal; formula; renal; peritubular; nephron; mathematical; epithelial; ammoniagenesis; kidney; hyperkalemia,1
30,02; exon; 01; sanger; 501; individual; hla; dideoxy; allele; 35; nucleotides; chinese; nucleotide; identified; sequencing,1
31,rbvchib; coli; chitinolytic; biocontrol; genomic; velezensis; enzymes; genome; chitin; molecular; chitinase; bacterial; bacterium; bacillus; chitinases,1
32,covid; months; institution; confronts; syndrome; diagnosis; medicine; disorder; managing; prevalence; 19; razor; thrombocytopaenia; occam; thrombosis,1
33,plants; stems; typified; typification; genus; calyx; boissieri; cilo; peculiar; lutea; species; holoparasite; phelypaea; orobanchaceae; phelypaeaboissierif,1
34,digestate; cycle; polish; economy; fertilizing; income; installations; nitrogen; properties; management; fields; agricultural; fertilizers; nutrient; farms,0
35,pollution; european; electricity; barriers; resistance; policies; coalitions; energy; economic; opposition; economy; fuels; climate; poland; coal,0
36,market; power; renewable; strategies; trading; optimization; solutions; thermal; resources; coordinated; wind; utilized; strategy; energy; storage,0
37,outputs; oecd; evidence; countries; dioxide; analysis; efficient; outcomes; environment; energy; economic; efficiency; environmental; economies; economics,0
38,surgeon; autosomal; syndrome; patients; neurological; knees; dysplasia; hypoplasia; osteo; symptomatic; orthopedic; knee; onychodysplasia; arthroplasty; osteoarthritis,1
39,heat; material; hybrid; vehicles; development; phase; passive; management; thermal; electric; techniques; developments; lithium; batteries; battery,0
40,highlight; analyses; xths; proteins; family; reconsider; function; functions; reconsidering; enzyme; hydrolase; xyloglucan; xyloglucans; transglycosylase; endotransglucosylase,1
41,sulfur; increasing; chemical; graphene; improvement; adsorbent; enhanced; investigation; efficiency; mechanism; functionalization; effects; oxide; adsorption; disulfide,0
42,agents; parameters; znconps; radiation; zncanps; radio; nox; nitric; peroxidation; zinc; oxide; cytotoxic; antioxidant; caffeinate; nanoparticles,1
43,study; relationships; global; panel; industrialization; energy; regression; economic; factors; analyzed; indicators; european; countries; environmental; analysis,0
44,viability; algerian; south; power; region; farm; economically; economic; feasibility; electricity; west; energy; potential; wind; windfarm,0
45,metabolism; identified; reconstruction; ontology; scanning; data; tissue; obesity; integrative; females; biological; analysis; subcutaneous; microscope; insights,1
46,technology; tariff; peer; analysing; trade; renewable; assessing; technologies; sector; assessment; trading; energy; potential; electricity; availabilities,0
47,sequenced; isolates; gen; southern; hyphomycetes; species; genera; genus; pseudocoronospora; isolated; freshwater; aquatic; hainanense; china; aquatica,1
48,dispatches; voltage; distribution; day; systems; storage; energy; feeder; operation; manage; efficiency; management; microgrids; reconfiguration; microgrid,0
49,analyses; records; phenotypic; hymenium; ascospores; murioelongata; phylogenetic; niveocarpa; species; china; chapsa; astrochapsa; chapsawolseleyana; graphidaceae; chapsamurioelongata,1
50,achieving; growth; attributed; final; benefits; impact; yield; achievements; european; consume; income; economic; consumption; renewable; energy,0
51,industrial; causal; estimated; estimates; progression; sustainable; growth; causality; energy; indicators; impacts; regression; economic; economy; economies,0
52,emissions; compared; economy; clean; power; effects; findings; waste; analysis; energy; examines; asymmetric; pakistan; environmental; asymmetries,0
53,neotypification; typification; tenuifolius; names; dianthusaggericola; nomenclature; specimens; nomenclatural; synonymies; dianthussubacaulis; caryophyllusf; dianthusvirgineus; dianthusvirgineusvar; caryophyllaceae; dianthuscaryophyllusvar,1
54,health; factors; countries; respiratory; fuels; growth; consumption; combustion; energy; economic; economies; effects; influence; environmental; pollution,0
55,w207; fcm; metabolism; improving; efficiency; metabolic; oxidoreductase; denitrification; field; fluorescence; electric; membrane; electroporation; electron; bacteria,1
56,direct; oecd; environmental; energy; equation; approach; implications; perspective; simultaneous; causality; growth; investment; economics; economies; innovation,0
57,techniques; databases; review; subdivided; summarized; methods; indicators; circular; criteria; systemic; measuring; methodologies; systematic; circularity; economy,1
58,real; created; compared; goal; estimating; visual; size; memory; search; target; measured; targets; object; equal; objects,1
59,bvm; clinicians; facemask; emergency; ems; mask; statement; position; naemsp; document; manual; ventilation; medical; ventilations; prehospital,1
60,cortices; aβ1; parietal; pathology; immunohistochemistry; plaques; occipital; immunoreactivity; cerebellum; cerebellar; subarachnoid; autopsy; amyloid; angiopathy; hemorrhage,1
61,suspended; design; grooving; gravity; impeller; blood; suspension; annular; force; hydraulic; fluid; circumferential; influence; flow; pump,1
62,influence; efficiency; wastewater; modified; media; hydraulic; conductivity; biofilm; reduce; modification; bioclogging; hydrophobically; hydrophobic; infiltration; filter,1
63,applications; maximum; application; operation; optimized; objective; cells; cell; functions; membrane; propulsion; optimum; proton; efficiency; optimization,0
64,highland; varies; traits; populations; chronic; excessive; syndromes; responses; altitude; mechanisms; physiological; environments; adaptive; erythrocytosis; maladaptive,1
65,schemes; based; decentralized; management; algorithm; economic; renewable; demurrage; mechanism; scheduling; energy; electricity; trading; sustainable; blockchain,0
66,interacting; distributed; regressive; co2; control; reducing; emission; evidence; ardl; variables; interaction; role; emissions; institutional; modifying,0
67,immune; cells; arthritis; metastasis; chemokine; targeting; mimicking; therapeutic; nanoparticles; maximizing; chemokines; nanoencapsulations; autoimmune; nanoencapsulation; chemotherapeutic,1
68,contemplation; transformative; generosity; deepening; economic; structures; cultivate; degradation; neglect; adequacy; external; inequality; worlds; ecosystem; sustainability,0
69,monitoring; settings; secondary; brain; strategies; sedated; injury; injuries; sedatives; sedation; prevent; trauma; sedative; traumatic; neuroprotective,1
70,economies; embodied; manufacturing; environmental; emissions; coefficient; china; india; evidence; export; carbon; exporter; exports; trade; imbalance,0
71,projecting; communities; vocational; adolescents; australian; perspectives; taught; career; schools; teachers; australia; designing; curriculum; education; educational,1
72,presentation; nephrology; vascular; bifurcation; embolization; atypical; complication; dysfunction; fistula; hemodialysis; thromboembolectomy; anastomosis; radiocephalic; thromboembolism; thrombosis,1
73,measured; food; vitamins; diverse; diphenyl; evaluating; antioxidant; powder; picrylhydrazyl; oxidation; powders; nutritional; macronutrient; effects; shrimp,1
74,women; multivariate; associations; genomic; brazilian; genotyping; variables; abnormalities; hpv; 4vhpv; genotypes; infection; vaccination; vaccine; papillomavirus,1
75,displays; clinical; binocular; virtual; pulmonologists; simulation; simulated; transbronchial; fluoroscopic; biopsy; fluoroscopy; bronchoscope; bronchoscopists; bronchoscopic; bronchoscopy,1
76,bioprocess; radiation; dilutions; prevention; drug; microscopy; streptomyces; infectious; dbz39; actinomycetes; vaccine; nanoparticles; virus; orbivirus; antiviral,1
77,china; online; regression; relationships; controlling; interpersonal; correlates; abuse; chinese; adolescent; prevalence; disorders; gaming; internet; adolescents,0
78,domains; diverse; structural; distinction; characteristics; differentiation; humans; sciences; interactions; relations; dominance; hierarchies; relationships; networks; social,1
79,consumers; economy; evidence; intention; consumer; bangkok; implication; marketing; purchase; industrial; thailand; automotive; remanufactured; purchasing; remanufacturing,0
80,consumption; clean; degradation; east; growth; economic; region; climate; renewable; environment; energy; environmental; ecological; urbanization; africa,0
81,chain; supply; study; economic; economy; reverse; system; logistics; circular; modelling; remanufacturing; linear; dynamics; electric; batteries,0
82,efficacy; load; stability; delay; proportional; linearity; disturbance; constraint; communication; systems; system; frequency; controllers; control; controller,1
83,adaptability; optimum; ascertain; reserved; china; energy; prediction; vehicles; algorithm; operator; buffer; forecast; grey; forecasting; optimised,0
84,rubber; sodium; inferior; material; thermal; alkaliactivated; alkali; enhanced; crumb; mortar; concrete; copper; combination; replacing; replacement,0
85,clinical; initial; oxygenation; document; ventilations; airways; agencies; insertionsga; ems; position; statement; aspiration; naemsp; supraglottic; prehospital,1
86,filtration; tissue; lipid; tissues; fraction; mice; parameters; female; lipids; effects; c57bl; aminotransaminases; proteins; biochemical; microalgae,1
87,extract; potency; acids; crispus; medicinal; rumex; extracts; anthelmintic; bioactive; flavonoids; compounds; phenols; caenorhabditis; alkaloids; proanthocyanidin,1
88,provinces; influence; cities; regional; tourism; effects; region; efficiency; pollution; environment; economy; economic; ecological; urbanization; environmental,0
89,energy; impact; influence; economic; import; china; efficiency; trade; impacting; imports; impacts; industry; textile; export; exports,0
90,inhibitor; pvt1; β1; phenotypes; phenotypic; apoptosis; transfection; cytokine; circpvt1; circrnamicroarray; extracellular; fibrosis; fibrotic; fibrogenesis; plasmacytoma,1
91,injected; emergent; ischemia; anesthesia; mucosal; injecting; mesenteroaxial; inflated; nasogastric; surgical; gastric; intragastric; endoscope; endoscopic; endoscopy,1
92,empirically; economy; economic; carbon; ardl; influence; environment; pakistan; evidence; simulated; pollution; impact; environmental; dioxide; macroeconomic,0
93,low; studies; efficacy; vulgaris; literature; patients; moderate; assessment; analysis; treatment; review; analyze; reviewed; dermatologic; isotretinoin,1
94,tales; 1650s; mystical; spectres; readers; maleficarum; sleep; esoteric; secrets; seventeenth; depictions; noctambuli; noctamubli; sleepers; sleepwalkers,1
95,malignancy; differential; malignant; differentiated; veterinary; müllerian; ductal; intraabdominal; tumors; cervical; tumor; vaginal; genital; uterine; mixed,1
96,investigate; analyses; risk; efficacy; investigating; insights; trials; therapy; intervention; myocardial; anticoagulant; anticoagulants; patients; thrombosis; antithrombotic,1
97,models; anaerobic; hydraulic; simulated; sustainability; hybrid; correlation; variables; statistical; regression; regressions; biogas; predicting; prediction; nonlinear,0
98,toxins; roles; role; virulence; infect; plant; glyoxylate; organelles; fungi; infection; mycotoxins; fungal; peroxisomal; pathogens; peroxisomes,1
99,patients; evaluation; dynamic; approach; examination; physical; diagnosis; medical; techniques; anthropometric; clinical; diagnostic; ultrasound; lymphatic; lymphedema,1
100,reduction; normothermia; tracheostomy; maintenance; summary; critical; relevance; management; review; narrative; injury; neurological; brain; recovery; traumatic,1
101,ainsliaside; spectrometry; spectroscopy; epidermoid; pumilaside; electrospray; spectroscopic; vulgaris; aerial; artemisia; vulgarosides; eudesmane; glucosides; glycosides; sesquiterpene,1
102,standard; components; coefficients; country; meet; security; social; benchmarks; society; thresholds; safety; countries; sustainable; indicators; standards,0
103,disease; diseases; inflammation; fibrosis; pathways; infection; mucociliary; airflow; pulmonary; pathogenesis; mucus; physiology; airways; airway; pathophysiology,1
104,assess; structure; citizens; impact; 19; mathematical; assessing; covid; incidence; effects; model; population; virus; pandemic; vaccination,1
105,certificate; promoting; education; detrimental; crucial; harms; practices; knowledge; medical; adolescents; hymen; virginity; hymenoplasty; paediatrician; paediatricians,1
106,asymmetric; conjugate; adducts; molecules; alkyl; azaarenes; catalysis; arylglycines; organocatalyst; hydrogen; catalytic; catalysts; alkenyl; alkenylazaarenes; hydroaminoalkylation,1
107,mutation; therapy; patients; colorectal; methylated; assessment; tested; quantify; methylation; quantitative; bcat1; tumor; cancer; radiotherapy; chemotherapy,1
108,physiologic; polyostotic; nonpneumatic; pneumatic; estrogens; humerus; undulatus; bone; neoplasm; neoplasms; neoplasia; testicular; budgerigars; medullary; melopsittacus,1
109,ecosystems; organic; volatile; proteobacteria; compounds; actinobacteria; wastewater; metallibacterium; efficiencies; hydrosoluble; elimination; respiratory; effects; biofilter; pollutants,0
110,disease; estimating; economic; attributable; yuan; china; attributed; impact; pollutant; effects; burden; chinese; exposure; pollutants; pollution,0
111,comparison; reduction; systems; evaluate; remote; techno; renewable; power; economic; technologies; energy; analysis; electricity; efficiency; optimization,0
112,environment; economy; utilization; irrigated; efficiency; resources; allocation; sustainability; environmental; water; agriculture; agricultural; scarcity; shortage; irrigation,0
113,extracellular; increase; increased; benefits; modulate; preserves; microscopy; proteins; hippocampal; protein; modulating; soybean; nutraceuticals; increasing; microbiota,1
114,oatp1b1; cyp2c19; nintedanib; kinase; clinically; oxidative; 90001; cmax; cyp2c8; cyp2c9; clinic; inhibitor; metabolism; clinical; drug,1
115,pollution; bangladesh; hypothesis; economic; countries; association; ekc; sustainable; afghanistan; associations; emissions; dioxide; environmental; causality; globalization,0
116,supercritical; coal; biomass; economic; emissions; electricity; carbon; economically; energy; decarbonisation; assessment; efficiency; decarbonise; dioxide; combustion,0
117,membrane; protective; ultrastructure; pv; diabetic; empagliflozin; endothelial; podocytes; protects; vegf; glomerular; diabetes; antiproteinuric; microvascular; glucose,1
118,wildfires; utilization; emissions; ch4; producing; fuels; energy; carbon; gas; climate; combustion; oxyfuel; gasification; biofuels; biofuel,0
119,evaluation; dyslipidemia; recommendations; guidelines; diastolic; healthcare; prevention; hospital; diabetes; clinician; aspirin; patients; hypertension; prescribing; cardiovascular,1
120,radiation; colon; effects; therapy; retroorbital; neoplasms; boron; borocaptate; xenografts; tumor; neutron; immunodeficient; colorectal; boronоphenylalanine; adenocarcinoma,1
121,innovative; operating; findings; 421kw; efficiency; multigeneration; system; examination; systems; analyses; evaluation; subsystems; sofc; polygeneration; 4e,0
122,potent; amazonesis; substances; steroids; trypanosoma; panamesis; parasites; peroxides; terpenoids; polysaccharides; agents; promising; antiparastic; sponges; antiparasitic,1
123,diphosphate; light; plants; plastoglobules; photochemically; plastoglobular; acclimation; plant; chloroplasts; intensity; chloroplast; photosynthesis; biosynthesis; plastoquinone; homeostasis,1
124,paste; concrete; accelerate; hydrate; strength; age; cement; calcium; seeds; increased; sodium; greener; binder; enhancement; sulfate,0
125,intervention; online; practices; examined; implications; parents; constraints; challenging; study; feasibility; children; parenting; behaviors; modules; disabilities,1
126,river; minimising; operation; hydropower; flows; flow; riverine; maximise; reservoir; cascade; ecosystem; optimisation; conservation; reservoirs; environmental,0
127,manipulation; pharmacological; receptors; thermoregulatory; hibernators; administration; activation; stimulation; mice; hypothermic; respiratory; respiration; hypothermia; mitochondria; mitochondrial,1
128,designing; impact; effects; controlling; socioeconomic; energy; structural; asymmetric; emissions; influence; unsustainable; causality; ecological; sustainability; environmental,1
129,proportion; effects; quantify; consumption; impact; estimation; evaluating; sustainable; analysis; measurement; energy; econometric; pollutants; environmental; pollution,0
130,association; laws; dependency; political; integration; ecological; causality; degradation; institutional; regulations; countries; environmental; institutions; causalities; corruption,0
131,accelerating; heterogeneity; sustainable; correlation; governance; development; profit; china; environmental; analysis; chinese; companies; pollution; growth; infrastructure,1
132,kahlbaum; bleulerian; conceptualization; developmental; psychic; clinical; summarizes; diagnostic; kraepelinian; neurodevelopment; neurodevelopmental; overview; dementia; hebephrenia; schizophrenia,1
133,thermal; house; housing; mexico; test; building; implementation; residential; validation; box; boxes; simulations; simulation; experimental; experiment,0
134,co3o4; hollow; homogeneous; biosensors; prostate; antigen; ptnp; electrochemical; enzyme; enzymes; peroxidase; biosensing; synergetic; nanozymes; nanopolyhedrals,1
135,baboon; parameters; learning; concentration; diversity; macaca; studied; mulatta; activities; exploratory; interspecies; hamadryas; baboons; differences; monkeys,1
136,pumps; central; economic; power; waste; temperatures; distribution; temperature; climate; geothermal; heat; fourth; benefits; district; heating,0
137,comparative; surface; material; materials; cool; heat; thermal; experimental; cold; evaluation; cooling; thermometers; temperature; experiment; temperatures,1
138,impact; technique; optimization; frequency; covers; size; plane; skin; depth; depths; footprint; visibility; ultrasound; catheter; distance,1
139,factors; subjective; functioning; interpersonal; mediator; intrapersonal; mental; influence; organizations; mediating; support; health; psychosocial; compassion; fibromyalgia,1
140,pcr; transcription; pi3k; chemotherapy; pathway; cisplatin; tumor; cancer; receptor; apoptosis; protein; tyrosine; z1; ptprz1; phosphatase,1
141,river; china; field; ecosystem; impact; emissions; fertilization; fertilizer; influence; cultivated; zea; environmental; agricultural; irrigation; cultivation,0
142,footprint; reducing; technologies; resources; biofuel; increased; climate; growth; urbanization; security; consumption; china; strengthens; water; challenges,0
143,system; outages; systems; power; generator; economically; industries; industrial; analysis; energy; examines; economic; ethiopian; ethiopia; electricity,0
144,economic; organisation; cities; sustainable; transport; coefficient; pollution; analyzing; disaggregated; findings; investment; environmental; investments; kuznets; infrastructure,0
145,formulation; researcher; examples; primer; demonstrate; principles; context; organisations; policies; qualitative; methodology; institutional; historical; terminology; ethnography,1
146,distribution; quantile; environment; reductions; co2; disparity; countries; sustainable; growth; income; emissions; economic; inequality; impact; g20,0
147,considered; evaluated; health; aromatic; consumption; compounds; products; analyzed; spectrometric; polycyclic; assessment; analysis; cereal; contaminants; hydrocarbons,1
148,cointegration; trade; regions; investment; investigate; causality; impact; openness; comparative; coefficients; countries; growth; analyze; investigation; economic,0
149,productivity; farms; beneficial; impact; farm; efficiency; farming; economic; vegetation; agriculture; sustainable; environmental; environmentally; agricultural; sustainability,0
150,outcomes; philadelphia; emissions; covid; citizens; 19; impact; evidence; anthropogenic; chicago; environment; effects; environmental; causality; pollution,0
151,korea; energy; implication; indonesia; ardl; autoregressive; causality; cointegration; economic; openness; electricity; implications; growth; environmental; interactions,0
152,produce; recycled; hardened; dust; sand; marble; production; sustainable; conductivity; sustainability; materials; waste; concretes; glass; concrete,0
153,categories; 19; practices; channels; prioritization; covid; objectives; solutions; evils; vaccination; vaccines; emergencies; corrupt; pandemic; corruption,1
154,urine; gestation; privacy; anticoagulation; intrauterine; emergency; adverse; provision; primary; anaemia; surgical; pregnancy; medical; contraceptive; abortion,1
155,governance; green; china; heterogeneous; prefecture; economic; efficient; smart; efficiency; environmental; cities; urban; city; ecologically; urbanization,0
156,desmoglein; mechanism; cells; mucosa; heterogeneity; phenotypes; keratinocyte; transcription; protein; inactivation; intercellular; epidermal; proteins; carcinoma; phosphorylation,1
157,products; marketing; promote; company; projects; development; stakeholders; goals; brand; companies; environmental; achievements; green; sustainable; greenwashing,0
158,elucidating; interact; extensive; overlap; relationships; hubs; coordinate; signaling; vertebrate; canonical; web; complex; interlinked; diverse; hedgehog,1
159,efficiency; recover; leachate; inefficient; thermal; reprocessed; ammonium; phosphorus; composting; crystallization; hydroxyl; hydrolysis; nitrogen; pyrolysate; phosphate,0
160,functional; validated; evaluated; adenocarcinoma; alleles; deleterious; findings; uncertainty; ductal; reclassify; cdkn2a; reclassified; identified; identifies; misclassified,1
161,responsible; autonomy; acceptable; probability; relatedness; flourishing; competency; role; mediation; interventions; practices; mediating; adherence; satisfaction; gambling,1
162,scores; assessed; polish; screening; risk; vass; scale; version; accuracy; abuse; validity; repeatability; validation; vulnerability; reliability,1
163,plate; analysis; temperatures; cool; radiation; temperature; cooling; thermal; panels; heat; panel; electrical; electricity; solar; photovoltaic,0
164,conditions; variable; models; structure; hydrogen; destruction; descriptors; dye; dyes; electrolysis; degradation; molecular; electrochemical; chemical; oxidation,1
165,grids; pradesh; grid; households; economic; assessment; agricultural; biomass; rural; pollution; irrigation; energy; electricity; gasifier; gasification,0
166,environmental; dynamic; emissions; co2; warming; autoregressive; linking; energy; biomass; china; pollution; fuels; reducing; climate; simulations,0
167,assessment; biowaste; german; anaerobic; evaluation; digestion; fication; organic; segregation; sustainability; biogasi; composting; incineration; waste; environmental,0
168,tomography; immunohistochemical; rectum; colorectal; neuroendocrine; tumor; abdominoperineal; chemotherapy; metastases; biopsy; laparoscopic; metastasis; colonoscopy; carcinomas; carcinoma,1
169,electrogenic; deletion; homeostasis; proteins; synthetase; loxp; metabolic; acid; enzyme; effects; carboxykinase; enzymes; metabolism; nbce1; acidosis,1
170,cells; collagenous; synthesis; therapeutic; myocardium; role; inflammation; necrosis; oxidase; glycosaminoglycans; cytokine; cytokines; cardiomyocytes; cardiomyocyte; chemokines,1
171,receptors; exhibited; platelet; inhibitor; experimental; artery; arterial; tirofiban; angipur; infarction; myocardial; thrombosis; isoproterenol; antiplatelet; antithrombotic,1
172,study; hazard; yields; droughts; assessments; insecurity; vegetation; rainfed; risk; impacts; agricultural; exposure; vulnerability; drought; zimbabwe,0
173,systems; smart; platform; complexity; study; collaboration; visualization; twins; digital; citizens; collaborative; morgenstadt; urban; herrenberg; cities,0
174,evaluated; societies; determine; spine; guideline; elucidate; fractures; radiological; committee; thoracolumbar; radiologic; recommendation; diagnosis; classification; recommendations,1
175,materials; applications; phases; silicate; lithologies; contaminant; synthesis; montmorillonite; porosimetry; crystalline; aluminosilicate; mines; clays; phosphate; geopolymers,0
176,idiopathic; dramatically; artery; 21; arterial; trisomy; chd; subcutaneous; surgical; impact; patient; treprostinil; clinical; pulmonary; hypertension,1
177,implications; co2; causal; infection; deaths; respiratory; algorithm; study; growth; indian; causality; machine; evidence; india; pollution,0
178,discovery; differentiate; identification; biology; fusion; intersex; progenitors; differentiation; speciation; reversal; genomic; genome; decoding; chromosome; recombination,1
179,strategies; landscape; urban; communities; historic; adaptive; economic; heritage; buildings; economy; revitalize; cultural; impacts; environment; environmental,0
180,manufactured; flexible; reproducible; benthamiana; impurities; infection; manufacturing; purity; antibody; clinical; infectious; monoclonal; flexibility; nicotiana; reproducibility,1
181,quantification; city; biophysical; biodiversity; impact; global; approach; urban; european; europe; sustainable; pollution; biocapacity; ecological; environmental,0
182,consolidated; biorefineries; glucose; corn; hemicellulosic; industrials; cerevisiaestrains; catalysts; hemicellulases; hemicellulose; bioprocessing; bioprocesses; bysaccharomyces; biocatalysts; industrialsaccharomyces,1
183,diagnosed; pathology; neurovascular; symptomatic; neurosurgical; diphragma; sequencing; pregnancy; diaphragma; genetic; genomic; pathophysiology; genomics; meningioma; meningiomas,1
184,uk; explores; photoelicitation; people; contempt; findings; exploration; negligence; destitution; welfare; homeless; errors; error; homelessness; government,1
185,policies; panel; evidence; impact; development; cities; 284; effects; city; indicators; china; innovation; technological; energy; efficiency,0
186,countries; emission; cointegration; impact; analysis; sustainable; growth; economic; expansion; impacts; european; ecological; sustainability; environmentally; environmental,0
187,globally; publication; percentage; literature; worldwide; training; evaluating; scoping; surveys; investigating; review; survey; prevalence; resuscitation; cardiopulmonary,1
188,consumption; additives; veganism; diets; diet; environment; reducing; load; treatment; impact; environmental; loading; wastewater; impacts; phosphorus,1
189,maps; mexico; aquifer; analysis; alkalinity; nitrates; salinity; tehuacán; analyzed; water; multivariate; irrigation; aquifers; groundwater; qanats,1
190,method; establishment; india; systems; environmental; grain; growing; crop; households; assessing; sustainable; sustainability; methods; agricultural; rice,0
191,dna; temporal; adverse; activate; ccf; diverse; innate; cell; mtdna; circulating; stimulates; inflammation; immune; pregnancy; mitochondrial,1
192,pangolin; pangolins; pentadactyla; subspecies; monophyletic; taxonomic; mammalia; manispentadactyla; manispentadactylapentadactyla; molecular; genome; genetic; mitochondrial; phylogenetic; mitogenome,1
193,donations; intergroup; positively; pandemic; evidence; reluctance; trust; psychological; willingness; psychology; pakistan; philippines; vaccinated; vaccines; vaccine,1
194,tianjin; beijing; zones; china; qinghai; comparative; analysis; study; analyzed; chinese; analyze; waste; guangzhou; cities; municipal,0
195,drives; role; impact; cointegration; economic; applicable; causal; contributes; expansion; consumption; coal; africa; influence; causality; industrialization,0
196,integration; solar; hybrid; sufficiency; potential; storage; radiation; systems; residential; building; battery; photovoltaic; energy; buildings; hydrogen,0
197,gemcitabine; correlations; paclitaxel; correlated; patients; neoadjuvant; recurrence; prognosis; ductal; tumor; metastasis; pancreatic; chemotherapy; pancreatectomy; adenocarcinoma,1
198,controlled; effectiveness; regions; impact; incentive; haze; china; chinese; impacts; evidence; influence; regulation; regulations; environmental; pollution,0
199,financial; emitter; estimates; proxies; deals; capitalization; countries; carbon; representatives; economies; financialization; effects; impact; emissions; impacts,0
200,paced; diagnoses; mortality; mediated; ventricular; fibroelastosis; gestational; diagnosis; atrioventricular; transplant; neonatal; endocardial; transplacental; perinatal; postnatal,1
201,market; reaction; importing; supply; varying; prices; markets; exporting; implications; effects; investors; shocks; findings; oil; returns,0
202,produce; energy; catalysis; environment; molecular; chemical; biomass; perspective; photocatalytic; organic; hydrogen; photoelectrochemical; photocatalysts; photochemical; photocatalysis,0
203,chronic; council; asthma; injuries; treatments; emergencies; evidence; standard; aid; 2020; recommendations; standards; 2021; singapore; guidelines,1
204,firms; intention; game; change; improve; subsidize; regulate; emission; climate; global; cope; green; innovative; innovation; cooperative,1
